airTemp,waterTemp,salinity,pH,turbidity,sunRadiation,rainfall,rainfall24,rainfall48,rainfall72,windDirection,windStrength,UBB/37,UBB/22,EC,EN,PA,SA,CP,numBathers,numChildren,numDogs,numSeagull,numPigeons,beachUnclean,seaSurfaceUnclean,wellspring,coasalSorce,seaTurbidity
21,17,32.46,7.95,0.7,0,0,0,0,2.5,30,0.2,70,1080,80,14,5,0,3,0,0,0,0,0,0,0,0,0,0
21,17.5,35.5,7.99,1.2,0,0,0,0,2.5,30,0.2,35,1100,50,3,0,0,2,0,0,0,0,0,0,0,0,0,0
19,17.5,33.18,8.04,0.8,0,0,0,0,2.5,2,0.1,100,2001,3,12,0,10,0,0,0,0,0,0,1,0,0,2,0
18.5,18,33.76,8.04,0.7,0,0,0,0,2.5,2,0.1,60,1968,46,50,20,0,0,0,0,0,0,0,1,0,0,0,0
22,16,16.77,7.87,0.6,0,0,0,0,2.5,2,0.4,40,1200,55,64,9,20,4,0,0,0,0,0,0,0,3,0,0
22,17,27.87,7.88,9,0,0,0,0,2.5,2,0.4,300,2001,130,43,4,28,10,0,0,0,0,0,0,0,0,0,0
22,17,26.39,7.83,0.7,0,0,0,0,2.5,2,0.4,60,1800,120,41,5,15,8,0,0,1,0,0,0,0,0,0,0
22,19,23.59,7.94,1,0,0,0,0,2.5,2,0.4,24,930,110,29,22,40,0,0,0,0,1,0,0,0,0,0,0
22,19,34.76,7.99,0.8,0,0,0,0,2.5,2,0.4,40,2001,16,17,2,100,1,0,0,0,0,0,0,0,0,0,0
19,15,19.78,7.86,0.9,14.55,0,0,0,2.5,8,0.7,320,1710,110,37,3,4,14,0,0,0,4,0,1,0,1,4,0
19,17,34.61,7.99,1,20.2,0,0,0,2.5,10,0.7,480,2001,260,12,1300,20,5,0,0,0,0,0,0,0,0,1,0
19,17,31.72,7.99,0.9,22.17,0,0,0,2.5,10,0.7,640,2001,650,32,10,8,21,0,0,1,70,0,0,0,0,0,0
19,18,33.79,7.99,2.2,24.15,0,0,0,2.5,10,0.7,160,1630,150,20,1560,18,7,0,0,0,0,0,1,0,0,0,0
19,18,29.63,7.98,2.6,6.83,0,0,0,2.5,10,0.7,240,1480,650,118,1600,0,5,0,0,0,0,0,1,0,0,0,0
21,18,25.82,7.96,0.9,103.95,0,0,0,2.5,16,0.8,110,1530,30,39,3,2,7,0,0,0,13,0,0,0,0,2,0
21,19.5,35.23,8.05,1.1,253,0,0,0,2.5,16,0.8,130,1720,25,26,7,3,3,0,0,0,1,0,0,0,0,3,0
21,19,30.73,8.04,1.5,253,0,0,0,2.5,16,0.8,480,2001,120,66,370,1,44,2,0,0,0,0,1,0,0,0,0
21,19,34.58,8.03,2.4,23.13,0,0,0,2.5,16,0.8,100,1520,1,8,20,0,2,0,0,0,0,0,0,0,0,0,0
21,19,30.18,8.04,9.4,111.08,0,0,0,2.5,20,0.4,280,2001,290,234,80,0,10,0,0,0,0,0,0,0,0,0,0
21.5,18,30.06,8.02,1.3,434.53,0.1,0.1,0.1,2.6,26,0.1,24,980,60,104,10,0,16,0,0,0,43,0,2,3,1,1,0
21.5,19.5,33.25,8.05,1.5,410.49,0.1,0.1,0.1,2.6,26,0.1,80,1920,180,63,25,0,15,0,0,1,1,0,0,0,0,3,0
22,19.5,33.88,8.08,2.5,384.84,0.1,0.1,0.1,2.6,20,0.1,10,2001,50,76,0,0,29,0,0,0,1,8,1,0,0,0,0
23,20,33.82,8.07,1.2,373.62,0.1,0.1,0.1,2.6,20,0.1,100,1088,2,41,3,6,8,0,0,1,0,0,0,0,0,1,0
29,20,32.5,8.06,1.4,347.98,0.1,0.1,0.1,2.6,20,0.1,80,1300,8,32,1,25,11,0,0,0,0,0,0,0,0,1,0
20,18.5,27.73,7.9,0.6,56,0,0.1,0.1,1.6,22,0.2,60,720,52,72,10,0,3,0,0,0,0,0,0,0,2,1,0
20,18.8,30.27,7.97,0.7,56,0,0.1,0.1,1.6,22,0.2,240,760,416,37,8,0,2,0,0,0,0,0,0,0,1,1,0
20,19,30.77,8.02,4,56,0,0.1,0.1,1.6,22,0.2,800,960,338,150,0,0,66,0,0,0,5,0,0,0,0,0,0
20,18.8,33.76,8.06,1.6,56,0,0.1,0.1,1.6,20,0.2,200,640,634,390,60,0,72,0,0,0,0,0,0,0,1,0,0
20,18.8,33.89,8.07,1.3,56,0,0.1,0.1,1.6,20,0.2,124,1600,164,100,150,0,70,0,0,0,10,0,0,0,1,0,0
21,18,28.2,7.93,0.7,0,0,0.1,0.1,0.1,4,0.5,480,800,76,30,10,10,2,6,0,0,0,0,0,0,0,4,0
21,18.5,33.71,8,0.5,0,0,0.1,0.1,0.1,4,0.5,160,400,106,15,25,5,7,0,0,0,0,0,0,0,0,0,0
21,18.5,34.47,8,1.2,0,0,0.1,0.1,0.1,4,0.5,960,1220,429,25,32,0,8,2,0,0,0,0,0,0,0,0,0
21,18.5,32.78,8.01,0.9,0,0,0.1,0.1,0.1,4,0.2,480,1040,74,40,140,8,29,2,0,0,0,0,0,0,0,0,0
21,18.5,33.69,8.01,1.7,0,0,0.1,0.1,0.1,4,0.2,240,480,28,50,1,2,7,1,0,0,0,0,0,0,0,0,0
20,17,18.2,7.95,1.5,0,0,0.1,0.1,0.1,0,0,400,510,2800,35,130,16,10,0,0,0,0,0,0,0,0,0,0
20,18,30.41,7.98,0.8,0,0,0.1,0.1,0.1,0,0,60,560,169,80,10,0,21,0,0,0,0,0,0,0,0,0,0
20,17,23.95,7.9,0.7,0,0,0.1,0.1,0.1,0,0,80,592,403,61,15,3,11,0,0,0,0,0,0,0,0,0,0
20,19,32.72,7.94,0.8,0,0,0.1,0.1,0.1,4,0.3,80,600,23,26,50,0,7,0,0,0,0,0,0,0,0,0,0
20,19,29.76,7.96,0.9,0,0,0.1,0.1,0.1,4,0.3,40,800,96,75,60,0,15,0,0,0,0,0,0,0,0,0,0
20.2,17,22.77,8.07,0.9,4.35,0.13,0.6,0.6,0.6,2,0.2,120,480,520,150,150,35,13,0,0,2,5,0,0,0,2,3,0
20.4,18,22.3,8,0.8,11.3,0.2,0.6,0.6,0.6,2,0.5,80,1120,390,120,70,13,0,0,0,1,11,0,1,0,1,0,0
20.5,18,22.5,7.97,0.6,18.24,0.28,0.6,0.6,0.6,2,0.5,160,1540,520,130,100,5,13,0,0,1,12,0,1,0,0,0,0
20.7,18,24.25,8,0.7,87.24,0.85,0.6,0.6,0.6,2,0.5,126,880,130,130,90,25,5,2,0,0,2,0,0,0,0,0,0
20.8,18,23.52,8.01,0.7,90.44,0.9,0.6,0.6,0.6,2,0.5,200,1700,260,230,260,20,0,3,0,0,1,0,0,0,0,0,0
21,18,23.08,8,1,424.75,0.7,2.1,2.1,2.1,26,0.1,40,640,56,30,6,20,14,0,0,0,1,0,1,0,3,0,0
21,19,33.07,8.03,1.8,485.74,0,2.1,2.1,2.1,26,0.1,60,240,2,17,2,35,3,0,0,2,0,0,1,2,2,0,0
21,19,29.18,8.06,1.5,475.95,0,2.1,2.1,2.1,26,0.1,288,320,180,20,10,30,9,0,0,0,0,0,1,2,0,0,0
22,20,35.4,8.04,2.2,466.16,0,2.1,2.1,2.1,26,0.1,25,144,0,4,3,6,3,2,0,0,1,0,0,0,1,0,0
22,20,35.81,8.07,1.7,446.59,0,2.1,2.1,2.1,26,0.1,26,224,0,6,0,130,5,0,0,0,1,0,0,0,0,0,0
23,17,24.69,8.04,0.8,94.39,0,2,2.1,2.1,16,0.8,40,400,62,70,100,6,13,0,0,0,20,0,1,2,0,3,0
23,20,32.41,8.08,0.9,72.13,0,2,2.1,2.1,16,0.8,60,640,108,15,2,18,5,4,0,0,0,0,0,0,0,2,0
23,20,34.09,8.14,1.2,71.14,0,2,2.1,2.1,16,0.8,72,144,40,6,13,10,6,6,1,0,0,0,0,0,0,0,0
23,20,35.78,8.08,2.1,67.78,0,2,2.1,2.1,16,0.8,240,240,18,1,180,2,4,3,0,0,0,0,0,0,0,0,0
23,20,35.02,8.07,2,65.81,0,2,2.1,2.1,18,0.6,272,280,6,18,3,0,1,10,0,0,0,0,0,0,0,0,0
21,18,23.53,7.89,1.6,135,0,2,2.1,2.1,20,0.8,1360,1440,1300,260,260,0,6,0,0,0,0,0,0,0,0,0,0
21,19,33.63,8.03,0.8,135,0,2,2.1,2.1,20,0.8,88,960,260,10,60,2,15,0,0,4,0,0,0,0,1,0,0
21,19,34.83,8.06,1.3,135,0,2,2.1,2.1,20,0.8,620,560,1300,65,15,0,7,0,0,0,0,0,0,0,0,0,0
